SUPERSETOR;SETORFILHO;LIDERMAT
Finanças;Gerência Contábil Fiscal;3178
Finanças;Controladoria;3178
Finanças;Gerência Financeira;3178
Finanças;Coordenação Financeira;3178
Operações;Compras de Mercadoria e Revenda;3383
Operações;Logística;3383
Operações;Plan. Demanda e Estoque;3383
Operações;Estoque;3383
Patrimônio;Jurídico;4566
Patrimônio;Obras e Manutenção;4566
Patrimônio;Expansão;4566
Gestão;NEX;3797
Gestão;Compras de Consumo e Serviço;3797
Gestão;CSC;3797
Gestão;Segurança;3797
Gestão;Departamento Pessoal;3797
Gestão;Planejamento Estratégico;3036
Comercial;Marketing;3140
Comercial;IAF;3140
Comercial;Comercial;3140
Comercial;Incubadora;3140
Diretoria;;1979
Tecnologia;TEX;3495
